company_id,company_name,first_owner,second_owner,new_first_owner,new_second_owner
1515,Tandem SPA,1,1,14,14
1517,mispa/mibibi,2,2,2,2
1225,Bazar ED,2,2,2,2
857,Best Store SPA,1,1,14,14
817,RODA CORP SpA,1,0,14,14
3556,Mariam joyas,13,13,14,14
961,Henty,1,1,14,14
441,Mestizos Bazar Los Leones,3,,14,14
267,Moldavita ,1,1,14,14
937,REPTIL,1,1,14,14
1237,Carlos Roman,3,0,14,14
1634,Particular,4,4,14,14
862,Wiss Company Chile SpA,1,1,14,14
899,UpaDesigners,1,1,14,14
888,Beerly.cl Prueba,1,1,14,14
904,Rhona S.A.,1,1,14,14
913,Sociedad Vásquez & Weisser Limitada,1,1,14,14
912,EVAM,1,1,14,14
932,Agricola Don Guillermo SPA,1,1,14,14
920,Hipsy.cl,1,1,14,14
